유형,표제어,뜻풀이,예문,비고
외래어,어법(외래어,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 악센트 (O) 액센트 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 액세서리 (O) 악세사리 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 에인절 (O) 엔젤 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 엘리베이터 (O) 엘레베이터 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 액셀러레이터 (O) 악셀러레이터 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 배지 (O) 뱃지 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 바비큐 (O) 바베큐 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 보디랭귀지 (O) 바디랭기지 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 카운슬링 (O) 카운셀링 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 카디건 (O) 가디건 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 카스텔라 (O) 카스테라 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 카페라테 (O) 카페라떼 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 카탈로그 (O) 카달로그 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
로마자 표기법,- 캐러멜 (O) 카라멜 (X,),,auto from KBS 한국어능력시험 어법(외래어 and 로마자 표기법).docx
