유형,정답 단어,오답 단어
맞춤법,객쩍다,객적다
맞춤법,겸연쩍다,겸연적다
맞춤법,널빤지,널판지
맞춤법,서슴지 않다,서슴치 않다
맞춤법,오랜만,오랫만
맞춤법,치렀다,치뤘다
맞춤법,합격률,합격율
맞춤법,나뭇잎,나무잎
맞춤법,돼요,되요
맞춤법,돼,되
맞춤법,되다,돼다
맞춤법,띄어쓰기,띠어쓰기
맞춤법,메마르다,매마르다
맞춤법,미처,미쳐
맞춤법,사흘,사일
맞춤법,설거지,설겆이
맞춤법,쓰레기,쓰래기
맞춤법,어떤,엇던
맞춤법,어떻게,어떻해
맞춤법,얼마든지,얼마던지
맞춤법,웬만하다,왠만하다
맞춤법,웬일,왠일
맞춤법,왠지,웬지
맞춤법,잠가,잠거
맞춤법,짓궂다,짓궃다
맞춤법,짚신,집신
맞춤법,철석같다,철썩같다
맞춤법,치르다,치루다
맞춤법,곰곰이,곰곰히
맞춤법,괄시,괄세
맞춤법,귀금속,귀금속류
맞춤법,그다지,그닥지
맞춤법,기꺼이,기껏이
맞춤법,긴요하다,긴요되다
맞춤법,까다롭다,까탈스럽다
맞춤법,나팔꽃,나팔꼿
맞춤법,날짜,날자
맞춤법,너머,넘어
맞춤법,넓이,넓이값
맞춤법,넓적다리,넙적다리
맞춤법,놀라다,놀래다
맞춤법,눈살,눈쌀
맞춤법,닦다,닥다
맞춤법,닮다,담다
맞춤법,되레,되려
맞춤법,두통,두텅
맞춤법,들러리,들러리꾼
맞춤법,들쭉날쭉,들쑥날쑥
맞춤법,따뜻하다,따듯하다
맞춤법,마찰,마차일
맞춤법,만끽,만낙
맞춤법,말끔하다,말깜하다
맞춤법,맞히다,맞추다
맞춤법,맡기다,맞기다
맞춤법,매달다,메달다
맞춤법,먹잇감,먹이감
맞춤법,멋쩍다,멋적다
맞춤법,며칠,몇일
맞춤법,모자라다,모자르다
맞춤법,못지않다,못지 않다
맞춤법,무르다,물르다
맞춤법,묻히다,묻히이다
맞춤법,미루다,밀우다
맞춤법,바람직하다,바람직타
맞춤법,바짝,빡짝
맞춤법,반드시,반듯이
맞춤법,반짝이다,반짞이다
맞춤법,밭일,밭일(받닐)  # 오답 표기는 예시용 설명 삭제 가능
맞춤법,벌이다,벌리다
맞춤법,보통명사,보통 명사
맞춤법,부딪다,부디치다
맞춤법,부서지다,부숴지다
맞춤법,부숴,부셔
맞춤법,붙이다,붙히다
맞춤법,비로소,비로써
맞춤법,빙그레,빙그러
맞춤법,사둔,사돈
맞춤법,살코기,살고기
맞춤법,섣부르다,설부르다
맞춤법,설레다,설레이다
맞춤법,셈하다,샘하다
맞춤법,소곤소곤,소근소근
맞춤법,수군거리다,수근거리다
맞춤법,습니다,씁니다
맞춤법,시큰둥,시큰둥이
맞춤법,실낱,실날
맞춤법,실없이,싫없이
맞춤법,싫증,실증
맞춤법,싹둑,싹뚝
맞춤법,아니에요,아니예요
맞춤법,아니어서,아니여서
맞춤법,아니오,아니요  # 상황에 따라 둘 다 표준이니 필요시 삭제
맞춤법,앞질러,앞지르다
맞춤법,애달프다,애닯다
맞춤법,야단법석,야단법썩
맞춤법,어느새,어느세
맞춤법,어렴풋이,어렴풋히
맞춤법,어쨌든,어째든
맞춤법,얽히고설키다,얽히고설키이다
맞춤법,엷다,옅다
맞춤법,여전히,여전희
맞춤법,역할,역활
맞춤법,연거푸,연거퍼
맞춤법,예약,예약
맞춤법,예컨대,예를들어
맞춤법,웬만큼,왠만큼
맞춤법,의뢰,의뢰회
맞춤법,이겨내다,이겨네다
맞춤법,이따가,있다가
맞춤법,이따금,있다금
맞춤법,이럴 줄 알았다,이럴줄 알았다
맞춤법,이상하다,이샹하다
맞춤법,있을 것이다,있을것이다
맞춤법,자꾸,작구
맞춤법,자칫,자칫하다
맞춤법,저희,저희들
맞춤법,적잖이,적지않이
맞춤법,전셋집,전세집
맞춤법,점점이,점점히
맞춤법,접지르다,접질르다
맞춤법,정성껏,정성껏히
맞춤법,조그맣다,조그마하다
맞춤법,조종사,조정사
맞춤법,좋아하다,조아하다
맞춤법,좋아져,조아져
맞춤법,주워,줏어
맞춤법,즐겨,즐거
맞춤법,지붕,지봉
맞춤법,진작,찐작
맞춤법,질끈,질금
맞춤법,짓이기다,찢어지기다
맞춤법,짜깁기,짜집기
맞춤법,짝짓기,짝지기
맞춤법,착잡하다,착찹하다
맞춤법,처치,처치치
맞춤법,천장,천정
맞춤법,첫째,첫째날
맞춤법,초점,촛점
맞춤법,치솟다,치솓다
맞춤법,치열하다,치여하다
맞춤법,친절히,친절이
맞춤법,캄캄하다,깜깜하다  # 둘 다 쓰지만 의미차/표기 차이 고려해 필요시 조정
맞춤법,콧노래,코노래
맞춤법,크기,크긔
맞춤법,타박상,타박샹
맞춤법,터무니없다,터무늬없다
맞춤법,통틀어,퉁틀어
맞춤법,틀림없이,틀림없히
맞춤법,파랗다,파랗타
맞춤법,평평하다,편편하다
맞춤법,풋나기,풋내기
맞춤법,하마터면,하마트면
맞춤법,하여튼,하여턴
맞춤법,해쓱하다,핼쑥하다  # 의미차 존재 → 필요시 제외
맞춤법,헤아리다,헤아리드아
맞춤법,희한하다,희안하다
