유형,단어,표준 발음
표준 발음법,밟으면,발브면
표준 발음법,신어,시너
표준 발음법,떫은,떨븐
표준 발음법,닦다,닥따
표준 발음법,넓죽하다,넙쭈카다
표준 발음법,넓둥글다,넙뚱글다
표준 발음법,놓는,논는
표준 발음법,쌓네,싼네
표준 발음법,않는,안는
표준 발음법,뚫네,뚤레
표준 발음법,뚫는,뚤른
표준 발음법,쌓이다,싸이다
표준 발음법,않은,아는
표준 발음법,닭을,달글
표준 발음법,넋이,넉씨
표준 발음법,곬이,골씨
표준 발음법,핥아,할타
표준 발음법,읊어,을퍼
표준 발음법,설익은,설리근
표준 발음법,아래,바다래
표준 발음법,맛없다,마덥따
표준 발음법,겉옷,거돋
표준 발음법,헛웃음,허두슴
표준 발음법,국물,궁물
표준 발음법,긁는,긍는
표준 발음법,붙는,분는
표준 발음법,밥물,밤물
표준 발음법,읊는,음는
표준 발음법,석류,성뉴
표준 발음법,막론,망논
표준 발음법,협력,혐녁
표준 발음법,법니,범니
표준 발음법,밭이랑,반니랑
표준 발음법,닳는,달른
표준 발음법,줄넘기,줄럼끼
표준 발음법,선릉,설릉
표준 발음법,핥네,할레
표준 발음법,생산량,생산냥
표준 발음법,결단력,결딴녁
표준 발음법,공권력,공꿘녁
표준 발음법,상견례,상견녜
표준 발음법,입원료,이붠뇨
표준 발음법,넋받이,넉빠지
표준 발음법,닭장,닥짱
표준 발음법,있던,읻떤
표준 발음법,낯설다,낟썰다
표준 발음법,값지다,갑찌다
표준 발음법,훑소,훌쏘
표준 발음법,얹다,언따
표준 발음법,갈등,갈뜽
표준 발음법,불세출,불쎄출
표준 발음법,일시,일씨
표준 발음법,물질,물찔
표준 발음법,발전,발쩐
표준 발음법,몰상식,몰쌍식
표준 발음법,바람결,바람껼
표준 발음법,그믐달,그믐딸
표준 발음법,아침밥,아침빱
표준 발음법,초승달,초승딸
표준 발음법,등불,등뿔
표준 발음법,꽃잎,꼰닙
표준 발음법,늑막역,능망념
표준 발음법,막일,망닐
표준 발음법,색연필,생년필
표준 발음법,늦여름,는녀름
표준 발음법,식용유,시굥뉴
표준 발음법,몫몫이,몽목씨
표준 발음법,절,사밀쩔
표준 발음법,등용문,등용문
표준 발음법,실례,실례
표준 발음법,가져,가저
표준 발음법,희망,히망
표준 발음법,그럼요,그러묘
표준 발음법,유들유들,유들류들
