유형,표준어 규정
표준어 규정,가물
표준어 규정,가뭄
표준어 규정,가엽다
표준어 규정,가엾다
표준어 규정,가자미
표준어 규정,강냉이
표준어 규정,개구쟁이
표준어 규정,게을러빠지다
표준어 규정,게을러터지다
표준어 규정,괴팍하다
표준어 규정,까다롭다
표준어 규정,까탈스럽다
표준어 규정,나팔꽃
표준어 규정,넝쿨
표준어 규정,덩굴
표준어 규정,동틀 녘
표준어 규정,둘째
표준어 규정,멋쟁이
표준어 규정,미장이
표준어 규정,복사뼈
표준어 규정,복숭아뼈
표준어 규정,사글세
표준어 규정,새벽녘
표준어 규정,셋째
표준어 규정,소금쟁이
표준어 규정,수꿩
표준어 규정,수놈
표준어 규정,수소
표준어 규정,수캉아지
표준어 규정,수캐
표준어 규정,수컷
표준어 규정,수탕나귀
표준어 규정,수퇘지
표준어 규정,수평아리
표준어 규정,숫양
표준어 규정,숫염소
표준어 규정,숫쥐
표준어 규정,스물두째
표준어 규정,아기
표준어 규정,아지랑이
표준어 규정,여느
표준어 규정,여태껏
표준어 규정,연달다
표준어 규정,열두째
표준어 규정,옥수수
표준어 규정,우레
표준어 규정,웃돈
표준어 규정,웃어른
표준어 규정,웃옷
표준어 규정,월세
표준어 규정,위쪽
표준어 규정,위층
표준어 규정,위턱
표준어 규정,윗눈썹
표준어 규정,윗니
표준어 규정,윗도리
표준어 규정,윗잇몸
표준어 규정,유기장이
표준어 규정,으레
표준어 규정,이제껏
표준어 규정,입때껏
표준어 규정,잇달다
표준어 규정,차이다
표준어 규정,천둥
표준어 규정,케케묵다
표준어 규정,풀무
표준어 규정,풍구
표준어 규정,허우대
